Code,Harvest,Litter,Initial (start) FM,Initial (start) DM,Start water content,FM at harvest,DM at harvest,Water content at harvest,Mass loss,Cellulase,Chitinase,Phosphatase,Protease,Peroxydase,Phenoloxidase,Amino acid concentration,Gross protein depolymerization,Gross amino acid immobilization,Gross N mineralization,Gross NH4 immobilization,Gross nitrification,Gross NO3 immobilization,Gross P mineralization,Gross P immobilization,Glucan Gross Depolymerisation,Glucan Net Depolymerisation,Glucose Gross Consumption,Glucose concentration,Acid detergent fibre,Cellulose,Lignin not ash corrected,Starch,NH4 concentration,NO3 concentration,PO4 concentration,TDP,Respiration,C_lit,N_lit,P_lit,C:N_lit,C:P_lit,N:P_lit,K litter,CA litter,MG litter,FE litter,MN litter,ZN litter,C_mic,N_ mic,P_mic,C:N_mic,C:Pmic,N:Pmic,DOC,TN,DON,DOC_k2SO4,TN_K2SO4,pH H2O,total PFLA content,identified PLFA content ,approx. Fungal Biomass,main fungal marker 18:2(9),Sum of gram positiv markers,Sum of general bacterial markers incl. gram+,ratioF/B 1,ratioF/B 2,ratioF/B 3,conc_acc_resp_dw,conc_acc_resp_dw_se,cons_acc_resp_litC,cons_acc_resp_litC_se,f2b_qpcr
E1-K-I-A,I,KL,61.81,24.72,60,42.96,24.48,43.02,1,0.401,0.296,1.825,0.093,0.78,0.545,14.58,420.23,519.41,18.7,12.92,24.57,22.15,22.53,122.72,512.73,-1796.49,2309.22,572.33,,,,,9.3767508849,2.2237309355,36.7273118235,68.3150195803,135.29,50.2,0.94,0.035,53.4042553191,1434.2857142857,26.8571428571,0.53,1.29,0.14,205,1439,33,2.847,0.157,0.1001302603,18.1337579618,28.4329631354,1.5679575737,2.795,0.061,-7.45,7.314,0.21,6.4,,,,,,,,,,0.0028861666,0.000271513,0.0058015732,0.0005457767,140.97939
E1-K-I-B,I,KL,61.07,24.43,60,40.65,24.18,40.51,1,0.32,0.208,1.28,0.103,0.915,0.566,13.5,360.05,487.17,19.38,34.22,21.42,9.39,124.19,142.32,380.35,-1655.27,2035.62,492.09,,,,,9.14708353,2.5078357573,25.3776687703,50.7395837386,141.71,49.5,0.97,0.032,51.0309278351,1546.875,30.3125,0.53,1.23,0.14,204,1464,32,2.49,0.212,0.1008372524,11.7452830189,24.6932551171,2.1023976244,2.35,0.052,-7.13,6.896,0.19,6.5,,,,,,,,,,0.0028861666,0.000271513,0.0058015732,0.0005457767,78.873586
E1-K-I-C,I,KL,60.92,24.37,60,38.31,24.12,37.02,1,0.254,0.166,1.403,0.076,1.14,0.513,8.52,296.35,367.27,21.55,17.79,30.33,24.19,87.98,86.79,428.58,-1557.17,1985.75,435.3,,,,,12.1406792388,2.5130967923,36.9480970582,65.6107080534,142.18,48.86,0.91,0.031,53.6923076923,1576.1290322581,29.3548387097,0.53,1.24,0.14,203,1409,33,,0.098,0.0790057522,,0,1.2404160113,2.264,0.06,-10.36,8.441,0.251,6.5,,,,,,,,,,0.0028861666,0.000271513,0.0058015732,0.0005457767,104.62313
E1-K-I-D,I,KL,61.19,24.48,60,36.08,24.23,32.85,1,0.08,0.066,1.205,0.065,0.978,0.535,15.74,520.97,565.59,19.56,17.74,53.19,48.29,264.75,388.85,925.83,-1356.84,2282.67,901.24,,,,,9.3146865137,2.1576790925,42.4235734989,73.6882281064,88.28,47.7,0.91,0.03,52.4175824176,1590,30.3333333333,0.54,1.29,0.14,204,1411,33,0.876,0.093,0.0982736043,9.4193548387,8.9138889925,0.94633753,2.365,0.061,-8.16,7.602,0.221,6.3,,,,,,,,,,0.0028861666,0.000271513,0.0058015732,0.0005457767,158.756836
E1-K-I-E,I,KL,61.39,24.56,60,37.11,24.31,34.48,1,0.079,0.037,1.698,0.066,0.519,0.639,12.92,252.91,362.59,13.57,10.74,44.06,40.08,293.32,417.9,2021.27,-1723.35,3744.62,971.79,,,,,11.9588279197,2.2694076455,71.5429615313,104.4651704081,99.43,50.77,0.96,0.032,52.8854166667,1586.5625,30,0.55,1.23,0.15,223,1425,34,,0.01,0.031817261,,0,0.3142948097,2.596,0.077,-10.05,9.579,0.281,6.3,,,,,,,,,,0.0028861666,0.000271513,0.0058015732,0.0005457767,43.803362
E1-K-II-A,II,KL,61.25,24.5,60,43.87,21.99,49.86,10.23,12.766,9.122,35.904,1.135,0.934,1.287,10.34,85.17,140.7,42.64,43.14,49.23,62.21,24.56,64.01,433.91,-306.73,740.64,83.31,55.16,24.3,29.62,0.1,14.3187514771,3.4198591569,33.0977527691,58.2301832693,64.55,49.57,1.05,0.033,47.2095238095,1502.1212121212,31.8181818182,0.54,1.28,0.15,224,1518,35,2.45,0.307,0.1239100489,7.9804560261,19.7724076597,2.4776037353,6.724,0.186,-12.53,6.001,0.183,7,500.56,2212.52,29.86,352.36,59.87,972.32,5.89,0.0729,1.1268,0.020371723,0.0008759059,0.0409498331,0.0023261795,59.219492
E1-K-II-B,II,KL,61.04,24.42,60,47.15,25.75,45.38,-5.48,8.073,8.033,29.406,0.758,0.583,1.486,9.04,104.56,199.93,23.52,21.07,42.52,54.53,21.93,37.34,548.97,-689.62,1238.59,141.15,59.06,24.69,33.05,0.1,11.9810366934,2.7736547891,25.6130286509,50.0158866176,,49.11,0.96,0.033,51.15625,1488.1818181818,29.0909090909,0.54,1.35,0.15,235,1472,47,2.555,0.27,0.1138994516,9.462962963,22.4320658616,2.3705118523,6.382,0.172,-9.37,5.063,0.161,7,433.32,1903.96,27.63,326.04,49.32,843.63,6.61,0.0632,1.1177,0.020371723,0.0008759059,0.0409498331,0.0023261795,28.596861
E1-K-II-C,II,KL,60.99,24.4,60,46.56,24.32,47.77,0.31,10.137,7.039,29.193,0.766,0.799,0.916,9.38,134.24,145.63,23.04,25.42,48.57,66.05,17.51,19.3,612.31,-343.33,955.64,88.89,54.17,23.85,29.11,0.09,12.2293018734,3.0137330182,27.5798864695,106.7266016708,35.45,49.71,1.02,0.033,48.7352941176,1506.3636363636,30.9090909091,0.55,1.22,0.14,214,1515,35,3.098,0.308,0.1265566475,10.0584415584,24.4791566567,2.4336927858,7.073,0.193,-9.97,5.286,0.164,6.9,467.38,2051.68,31.72,374.3,52.99,894.15,7.06,0.0508,1.1468,0.020371723,0.0008759059,0.0409498331,0.0023261795,22.491892
E1-K-II-D,II,KL,61.02,24.41,60,53.34,31.32,41.29,-28.3,8.276,6.705,30.995,0.841,0.673,0.933,6.86,171.6,135.06,30.67,30.78,31.62,38.98,9.63,9.63,370.36,-290.23,660.59,84.62,55.72,24.42,30.06,0.1,10.4855815132,2.9167091648,18.6916557401,88.7177905581,51.82,49.18,0.96,0.035,51.2291666667,1405.1428571429,27.4285714286,0.57,1.4,0.15,231,1528,39,2.569,0.278,0.1213573243,9.2410071942,21.1688912469,2.2907558453,6.01,0.158,-8.4,4.641,0.144,7,455.56,1978.18,31.61,372.96,47.26,841.98,7.89,0.054,1.2098,0.020371723,0.0008759059,0.0409498331,0.0023261795,13.892621
E1-K-II-E,II,KL,60.85,24.34,60,35.97,24.34,32.32,-0.01,5.446,6.688,22.357,0.621,0.616,0.872,8.24,143.62,169.02,34.44,30.63,25.14,42.83,37.38,44.18,,,,70.31,,,,,10.6869414929,2.385029911,32.5078089325,56.2412474569,40.05,48.91,0.97,0.032,50.4226804124,1528.4375,30.3125,0.55,1.28,0.15,227,1415,37,1.41,0.173,0.0751969818,8.1502890173,18.7507525797,2.3006242527,5.831,0.158,-8.74,5.268,0.166,6.9,510.85,2224.36,33.27,392.64,65.17,984.08,6.03,0.0481,1.1324,0.020371723,0.0008759059,0.0409498331,0.0023261795,33.253825
